DEVICE	DESCR	VALUE	RATING	PACKAGE	MFG PN	MFGR NAME	MIT PN	NOTE
CAPACITOR	CAPACITOR	2.2uF	50WVDC X7R	2225	SR2225X7R225K2NT91#M123	PRESIDIO		
CAPACITOR	CAPACITOR	4.7pF	100WVDC NP0	0603	SR0603NPO4R7J3NT91#N2	PRESIDIO		
CAPACITOR	CAPACITOR	220pF	50WVDC C0G	0805	SR0805NPO221J2NT91#N2	PRESIDIO		
CAPACITOR	CAPACITOR	22nF	50WVDC X7R	0603	HR0603X7R223K2NT91#N2	PRESIDIO		
CAPACITOR	CAPACITOR	7.5nF	16WVDC X7R	0603	SR0603X7R752KGNT91#M123	PRESIDIO		
CAPACITOR	CAPACITOR	DNP	25WVDC NP0	0603	DNP	DNP		NOT USED FOR FLIGHT
CAPACITOR	CAPACITOR	DNP	25WVDC X7R	0603	DNP	DNP		NOT USED FOR FLIGHT
CAPACITOR	CAPACITOR	DNP	50WVDC X7R	0603	DNP	DNP		NOT USED FOR FLIGHT
CAPACITOR	CAPACITOR	3.3nF	50WVDC X7R	0603	SR0603X7R332K2NT91#M123	PRESIDIO		
CAPACITOR	CAPACITOR	0.22uF	10WVDC X7R	0805	SR0805X7R224KENT91#M123	PRESIDIO		
CAPACITOR	CAPACITOR	0.33uF	10WVDC X7R	0805	SR0805X7R334KENT91#M123	PRESIDIO		
CAPACITOR	CAPACITOR	1uF	10WVDC X7R	0805	HR0805X7R105KENT91#N2	PRESIDIO		
CAPACITOR	CAPACITOR	330pF	50WVDC X7R	0603	SR0603X7R331K2NT91#M123	PRESIDIO		
CAPACITOR	CAPACITOR	22nF	100WVDC X7R	0805	HR0805X7R223K3NT91#N2	PRESIDIO		
CAPACITOR	CAPACITOR	33nF	25WVDC X7R	0805	SR0805X7R333K1NT91#M123	PRESIDIO		
CAPACITOR	CAPACITOR	47nF	50WVDC X7R	0805	SR0805X7R473K2NT91#M123	PRESIDIO		
CAPACITOR	CAPACITOR	0.22uF	25WVDC X7R	1206	HR1206X7R224K1NT91#N2	PRESIDIO		
CAPACITOR	CAPACITOR	0.27uF	25WVDC X7R	1206	SR1206X7R274K1NT91#M123	PRESIDIO		
CAPACITOR	CAPACITOR	47pF	50WVDC NP0	0603	SR0603NPO470J2NT91#M123	PRESIDIO		
CAPACITOR	CAPACITOR	1uF	25WVDC X7R	1812	SR1712X7R105K1NT91#M123	PRESIDIO		
CAPACITOR	CAPACITOR	4.7uF	10WVDC X7R	1812	HR1812X7R475KENT91#N2	PRESIDIO		
CAPACITOR	CAPACITOR	680pF	50WVDC X7R	0603	SR0603X7R681K2NT91#M123	PRESIDIO		
